               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.023396,             0.03419,            0.005217,             0.97202,              0.9807,             0.98135,             0.75094,            0.022709,            0.033251,           0.0031787,             0.00505,             0.00505,             0.00505
                 127,            0.023265,            0.033844,           0.0052895,             0.97301,             0.98067,              0.9826,             0.75188,            0.022701,            0.033005,           0.0031879,           0.0050104,           0.0050104,           0.0050104
                 128,            0.023857,            0.034971,           0.0054173,             0.97172,             0.97873,             0.97865,             0.74732,            0.022783,            0.032864,           0.0031593,           0.0049708,           0.0049708,           0.0049708
                 129,            0.023752,            0.033606,           0.0052342,             0.97454,             0.98032,             0.98235,             0.74763,            0.022694,            0.032833,           0.0030838,           0.0049312,           0.0049312,           0.0049312
                 130,            0.022896,            0.034106,           0.0052249,             0.97731,             0.97739,             0.98368,             0.74879,            0.022908,            0.033186,           0.0031345,           0.0048916,           0.0048916,           0.0048916
                 131,            0.023131,             0.03371,           0.0051931,             0.97374,              0.9812,              0.9816,             0.74912,            0.022694,            0.033035,           0.0031567,            0.004852,            0.004852,            0.004852
                 132,             0.02302,            0.034459,           0.0051336,             0.97308,             0.98047,             0.98301,             0.75023,             0.02288,            0.033215,           0.0031383,           0.0048124,           0.0048124,           0.0048124
                 133,            0.022948,            0.033303,           0.0051045,              0.9719,             0.97641,             0.98289,             0.74767,            0.023087,            0.033644,           0.0031869,           0.0047728,           0.0047728,           0.0047728
                 134,             0.02271,            0.032973,           0.0049295,             0.97626,             0.97665,             0.98237,              0.7488,            0.022759,            0.032803,           0.0031161,           0.0047332,           0.0047332,           0.0047332
                 135,            0.023367,            0.034248,           0.0052678,             0.97095,             0.97574,              0.9814,             0.74685,            0.022759,            0.032879,           0.0030983,           0.0046936,           0.0046936,           0.0046936
                 136,            0.023024,            0.033223,           0.0051916,             0.97481,             0.97578,             0.98139,             0.75311,            0.022841,            0.033127,           0.0030999,            0.004654,            0.004654,            0.004654
                 137,            0.022624,            0.034245,           0.0050502,             0.97658,             0.97783,              0.9817,             0.75265,            0.022713,            0.033409,           0.0031331,           0.0046144,           0.0046144,           0.0046144
                 138,            0.023011,            0.032758,           0.0050148,             0.97476,             0.98032,              0.9806,             0.74832,            0.022738,            0.033356,           0.0030873,           0.0045748,           0.0045748,           0.0045748
                 139,            0.022982,            0.033738,           0.0052686,             0.97269,             0.97492,              0.9791,             0.74794,            0.022881,            0.033188,           0.0030371,           0.0045352,           0.0045352,           0.0045352
                 140,            0.022819,            0.033055,           0.0051514,              0.9703,             0.98356,             0.97793,             0.74356,            0.022876,            0.033699,           0.0030823,           0.0044956,           0.0044956,           0.0044956
                 141,             0.02306,            0.033913,           0.0051969,             0.97816,             0.97745,             0.98195,             0.74469,            0.022546,            0.032871,           0.0029972,            0.004456,            0.004456,            0.004456
                 142,            0.023008,            0.034212,           0.0049933,             0.97278,             0.97818,             0.98028,             0.74671,            0.022835,            0.032652,           0.0030547,           0.0044164,           0.0044164,           0.0044164
                 143,            0.022787,            0.033879,            0.005144,             0.97279,             0.97708,             0.97914,             0.74682,            0.022795,            0.032726,           0.0030973,           0.0043768,           0.0043768,           0.0043768
