               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,             0.01406,           0.0082035,                   0,             0.93159,              0.9375,              0.9548,             0.83589,            0.012642,           0.0030107,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.014997,           0.0077292,                   0,             0.90891,             0.93553,             0.95973,             0.80038,            0.012579,             0.00301,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.013511,           0.0072444,                   0,             0.88454,             0.95781,             0.95385,             0.82826,            0.011884,           0.0029509,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.016702,           0.0078315,                   0,             0.88048,             0.96875,             0.97055,             0.85686,            0.011745,           0.0028529,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017037,           0.0081302,                   0,             0.90451,             0.96875,             0.97418,             0.85935,            0.012017,           0.0028707,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.014835,           0.0079045,                   0,             0.92854,              0.9375,             0.97522,             0.84958,            0.011538,           0.0029954,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,             0.01436,           0.0071912,                   0,             0.96474,              0.9375,              0.9759,             0.85729,            0.011768,           0.0031816,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.015742,           0.0080213,                   0,             0.96762,             0.93389,             0.97345,             0.83986,            0.011564,           0.0032203,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.015914,           0.0078246,                   0,             0.96737,             0.92679,             0.96317,             0.85433,            0.011851,           0.0032193,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.016091,           0.0078861,                   0,             0.91043,             0.96875,              0.9795,             0.85501,            0.011696,           0.0030812,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,              0.0188,           0.0076374,                   0,             0.92732,             0.96875,             0.97589,             0.84834,             0.01303,           0.0032422,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.016414,           0.0080985,                   0,             0.96677,             0.96875,             0.98274,             0.86367,            0.014055,           0.0030612,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,              0.0149,           0.0075201,                   0,             0.96065,             0.90625,             0.97281,             0.84483,            0.013854,           0.0029265,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.014888,           0.0073098,                   0,             0.91094,              0.9591,             0.97737,             0.85179,            0.012116,            0.002978,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.016539,           0.0075712,                   0,             0.96493,              0.9375,              0.9807,             0.85436,            0.012147,           0.0030683,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.016429,           0.0075894,                   0,             0.93111,             0.96875,             0.98393,             0.85486,            0.012385,           0.0030079,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.012773,           0.0074617,                   0,             0.96856,               0.963,             0.98279,             0.85305,             0.01337,           0.0031138,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.016421,           0.0077127,                   0,             0.96419,             0.96875,             0.98274,             0.84775,            0.014148,           0.0028752,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.013921,           0.0080295,                   0,             0.96743,             0.92833,             0.96665,              0.8276,            0.015668,           0.0028344,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.012826,           0.0069834,                   0,             0.95972,             0.96875,              0.9602,             0.83791,            0.015573,           0.0029971,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.014914,            0.007454,                   0,             0.96771,             0.93649,             0.97165,             0.84269,            0.012285,           0.0030941,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.015559,           0.0068462,                   0,             0.96859,             0.96371,             0.98962,             0.85041,            0.012084,           0.0032012,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.014928,           0.0078831,                   0,             0.96675,             0.96875,             0.99055,             0.85175,            0.011141,           0.0032038,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.014115,           0.0071016,                   0,             0.96807,             0.94772,             0.98464,             0.83746,            0.011561,            0.003097,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.013388,           0.0068824,                   0,             0.88015,             0.96875,             0.97294,             0.82085,            0.012099,           0.0031574,                   0,            0.002971,            0.002971,            0.002971
